company,role,industry,source,applied_on,status,response
Infosys,Python Developer,IT Services,LinkedIn,2024-10-01,Interview,Shortlisted
Wipro,Junior Software Engineer,IT Services,Naukri,2024-10-03,Applied,No Response
TCS,Data Engineer,IT Services,LinkedIn,2024-10-05,Rejected,Rejection Mail
Flipkart,Backend Developer,E-Commerce,LinkedIn,2024-10-07,Interview,HR Call
Amazon,SDE Intern,E-Commerce,Company Website,2024-10-08,Applied,No Response
Zoho,Python Developer,SaaS,Naukri,2024-10-10,Offer,Offer Letter
Freshworks,Junior Developer,SaaS,LinkedIn,2024-10-12,Interview,Technical Round
Swiggy,Software Developer,Food Tech,LinkedIn,2024-10-14,Applied,No Response
Ola,Backend Intern,Transport Tech,Internshala,2024-10-15,Interview,HR Call
Byju's,Python Developer,EdTech,Naukri,2024-10-17,Rejected,Rejection Mail
Unacademy,Software Engineer,EdTech,LinkedIn,2024-10-18,Applied,No Response
Razorpay,Backend Developer,Fintech,Company Website,2024-10-20,Interview,Shortlisted
PhonePe,Junior Python Dev,Fintech,LinkedIn,2024-10-22,Applied,No Response
Paytm,Software Developer,Fintech,Naukri,2024-10-23,Interview,Technical Round
CRED,Backend Intern,Fintech,LinkedIn,2024-10-25,Rejected,Rejection Mail
Meesho,Python Developer,E-Commerce,Internshala,2024-10-27,Applied,No Response
Nykaa,Junior Developer,E-Commerce,LinkedIn,2024-10-28,Interview,HR Call
Myntra,Software Intern,Fashion Tech,Company Website,2024-10-30,Applied,No Response
Zomato,Data Developer,Food Tech,LinkedIn,2024-11-01,Interview,Shortlisted
HCL,Junior Developer,IT Services,Naukri,2024-11-03,Applied,No Response